"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2069","User login with wrong email or password","LMS system","Mon Feb 02 19:12:36 UTC 2026","passed","Mon Feb 02 19:12:38 UTC 2026","Authorization","Authentication","",""
"","1581","Navigation from login page to registration page","LMS system","Mon Feb 02 19:12:42 UTC 2026","passed","Mon Feb 02 19:12:43 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Mon Feb 02 19:12:50 UTC 2026","passed","Mon Feb 02 19:12:50 UTC 2026","","test_markers","",""
"","1671","Check displaying of dashboard page","LMS system","Mon Feb 02 19:12:50 UTC 2026","passed","Mon Feb 02 19:12:51 UTC 2026","Dashboard","Dashboard","",""
"","1","test_password_reset","tests.pytest","Mon Feb 02 19:12:50 UTC 2026","passed","Mon Feb 02 19:12:50 UTC 2026","TestUserAuthentication","test_markers","",""
"","1843","Registration with correct email, username and password","LMS system","Mon Feb 02 19:12:43 UTC 2026","passed","Mon Feb 02 19:12:45 UTC 2026","Registration","Authentication","",""
"","2058","User login with wrong email or password","LMS system","Mon Feb 02 19:12:36 UTC 2026","passed","Mon Feb 02 19:12:38 UTC 2026","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Mon Feb 02 19:12:50 UTC 2026","passed","Mon Feb 02 19:12:50 UTC 2026","TestUserInterface","test_markers","",""
"","1","test_login","tests.pytest","Mon Feb 02 19:12:52 UTC 2026","passed","Mon Feb 02 19:12:52 UTC 2026","TestUserAuthentication","test_markers","",""
"","1814","User login with wrong email or password","LMS system","Mon Feb 02 19:12:38 UTC 2026","passed","Mon Feb 02 19:12:40 UTC 2026","Authorization","Authentication","",""
"","2904","Edit course","LMS system","Mon Feb 02 19:12:47 UTC 2026","passed","Mon Feb 02 19:12:50 UTC 2026","Courses","Courses","",""
"","0","test_logout","tests.pytest","Mon Feb 02 19:12:50 UTC 2026","passed","Mon Feb 02 19:12:50 UTC 2026","TestUserAuthentication","test_markers","",""
"","2534","Create course","LMS system","Mon Feb 02 19:12:45 UTC 2026","passed","Mon Feb 02 19:12:48 UTC 2026","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Mon Feb 02 19:12:50 UTC 2026","passed","Mon Feb 02 19:12:50 UTC 2026","","test_markers","",""
"","3009","User login with correct email and password","LMS system","Mon Feb 02 19:12:38 UTC 2026","passed","Mon Feb 02 19:12:41 UTC 2026","Authorization","Authentication","",""
"","1570","Check displaying of empty courses list","LMS system","Mon Feb 02 19:12:42 UTC 2026","passed","Mon Feb 02 19:12:44 UTC 2026","Courses","Courses","",""
