"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1597","Navigation from login page to registration page","LMS system","Mon Feb 16 14:45:21 UTC 2026","passed","Mon Feb 16 14:45:23 UTC 2026","Authorization","Authentication","",""
"","1561","Check displaying of empty courses list","LMS system","Mon Feb 16 14:45:23 UTC 2026","passed","Mon Feb 16 14:45:25 UTC 2026","Courses","Courses","",""
"","3302","User login with correct email and password","LMS system","Mon Feb 16 14:45:18 UTC 2026","passed","Mon Feb 16 14:45:21 UTC 2026","Authorization","Authentication","",""
"","2421","Create course","LMS system","Mon Feb 16 14:45:24 UTC 2026","passed","Mon Feb 16 14:45:27 UTC 2026","Courses","Courses","",""
"","2015","Registration with correct email, username and password","LMS system","Mon Feb 16 14:45:20 UTC 2026","passed","Mon Feb 16 14:45:22 UTC 2026","Registration","Authentication","",""
"","2170","User login with wrong email or password","LMS system","Mon Feb 16 14:45:15 UTC 2026","passed","Mon Feb 16 14:45:17 UTC 2026","Authorization","Authentication","",""
"","3287","Edit course","LMS system","Mon Feb 16 14:45:27 UTC 2026","passed","Mon Feb 16 14:45:30 UTC 2026","Courses","Courses","",""
"","2005","User login with wrong email or password","LMS system","Mon Feb 16 14:45:15 UTC 2026","passed","Mon Feb 16 14:45:17 UTC 2026","Authorization","Authentication","",""
"","1678","User login with wrong email or password","LMS system","Mon Feb 16 14:45:18 UTC 2026","passed","Mon Feb 16 14:45:19 UTC 2026","Authorization","Authentication","",""
"","2098","Check displaying of dashboard page","LMS system","Mon Feb 16 14:45:29 UTC 2026","passed","Mon Feb 16 14:45:31 UTC 2026","Dashboard","Dashboard","",""
