"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1680","Check displaying of dashboard page","LMS system","Fri Feb 06 13:41:14 UTC 2026","passed","Fri Feb 06 13:41:16 UTC 2026","Dashboard","Dashboard","",""
"","3237","User login with correct email and password","LMS system","Fri Feb 06 13:41:02 UTC 2026","passed","Fri Feb 06 13:41:05 UTC 2026","Authorization","Authentication","",""
"","1799","User login with wrong email or password","LMS system","Fri Feb 06 13:41:02 UTC 2026","passed","Fri Feb 06 13:41:03 UTC 2026","Authorization","Authentication","",""
"","1707","Check displaying of empty courses list","LMS system","Fri Feb 06 13:41:07 UTC 2026","passed","Fri Feb 06 13:41:08 UTC 2026","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Fri Feb 06 13:41:13 UTC 2026","passed","Fri Feb 06 13:41:13 UTC 2026","","test_markers","",""
"","2970","Edit course","LMS system","Fri Feb 06 13:41:09 UTC 2026","passed","Fri Feb 06 13:41:12 UTC 2026","Courses","Courses","",""
"","1693","Navigation from login page to registration page","LMS system","Fri Feb 06 13:41:04 UTC 2026","passed","Fri Feb 06 13:41:06 UTC 2026","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Fri Feb 06 13:41:13 UTC 2026","passed","Fri Feb 06 13:41:13 UTC 2026","TestUserInterface","test_markers","",""
"","0","test_regression_case","tests.pytest","Fri Feb 06 13:41:13 UTC 2026","passed","Fri Feb 06 13:41:13 UTC 2026","","test_markers","",""
"","1","test_logout","tests.pytest","Fri Feb 06 13:41:13 UTC 2026","passed","Fri Feb 06 13:41:13 UTC 2026","TestUserAuthentication","test_markers","",""
"","2206","User login with wrong email or password","LMS system","Fri Feb 06 13:40:59 UTC 2026","passed","Fri Feb 06 13:41:01 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Fri Feb 06 13:41:16 UTC 2026","passed","Fri Feb 06 13:41:16 UTC 2026","TestUserAuthentication","test_markers","",""
"","2598","Create course","LMS system","Fri Feb 06 13:41:10 UTC 2026","passed","Fri Feb 06 13:41:13 UTC 2026","Courses","Courses","",""
"","1864","Registration with correct email, username and password","LMS system","Fri Feb 06 13:41:06 UTC 2026","passed","Fri Feb 06 13:41:08 UTC 2026","Registration","Authentication","",""
"","2180","User login with wrong email or password","LMS system","Fri Feb 06 13:40:59 UTC 2026","passed","Fri Feb 06 13:41:01 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Fri Feb 06 13:41:13 UTC 2026","passed","Fri Feb 06 13:41:13 UTC 2026","TestUserAuthentication","test_markers","",""
