"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2872","User login with correct email and password","LMS system","Fri Feb 06 12:58:40 UTC 2026","passed","Fri Feb 06 12:58:43 UTC 2026","Authorization","Authentication","",""
"","2345","Create course","LMS system","Fri Feb 06 12:58:47 UTC 2026","passed","Fri Feb 06 12:58:50 UTC 2026","Courses","Courses","",""
"","1643","Check displaying of dashboard page","LMS system","Fri Feb 06 12:58:51 UTC 2026","passed","Fri Feb 06 12:58:53 UTC 2026","Dashboard","Dashboard","",""
"","1634","Navigation from login page to registration page","LMS system","Fri Feb 06 12:58:42 UTC 2026","passed","Fri Feb 06 12:58:43 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Fri Feb 06 12:58:53 UTC 2026","passed","Fri Feb 06 12:58:53 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Fri Feb 06 12:58:50 UTC 2026","passed","Fri Feb 06 12:58:50 UTC 2026","","test_markers","",""
"","1719","User login with wrong email or password","LMS system","Fri Feb 06 12:58:40 UTC 2026","passed","Fri Feb 06 12:58:41 UTC 2026","Authorization","Authentication","",""
"","2655","Edit course","LMS system","Fri Feb 06 12:58:47 UTC 2026","passed","Fri Feb 06 12:58:50 UTC 2026","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Fri Feb 06 12:58:50 UTC 2026","passed","Fri Feb 06 12:58:50 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Fri Feb 06 12:58:50 UTC 2026","passed","Fri Feb 06 12:58:50 UTC 2026","TestUserAuthentication","test_markers","",""
"","1568","Check displaying of empty courses list","LMS system","Fri Feb 06 12:58:44 UTC 2026","passed","Fri Feb 06 12:58:46 UTC 2026","Courses","Courses","",""
"","1","test_regression_case","tests.pytest","Fri Feb 06 12:58:50 UTC 2026","passed","Fri Feb 06 12:58:50 UTC 2026","","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","Fri Feb 06 12:58:50 UTC 2026","passed","Fri Feb 06 12:58:50 UTC 2026","TestUserInterface","test_markers","",""
"","1903","User login with wrong email or password","LMS system","Fri Feb 06 12:58:37 UTC 2026","passed","Fri Feb 06 12:58:39 UTC 2026","Authorization","Authentication","",""
"","1932","User login with wrong email or password","LMS system","Fri Feb 06 12:58:37 UTC 2026","passed","Fri Feb 06 12:58:39 UTC 2026","Authorization","Authentication","",""
"","1837","Registration with correct email, username and password","LMS system","Fri Feb 06 12:58:44 UTC 2026","passed","Fri Feb 06 12:58:45 UTC 2026","Registration","Authentication","",""
