"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_forgot_password_link","tests.pytest","Fri Feb 06 13:31:52 UTC 2026","passed","Fri Feb 06 13:31:52 UTC 2026","TestUserInterface","test_markers","",""
"","1728","Check displaying of empty courses list","LMS system","Fri Feb 06 13:31:43 UTC 2026","passed","Fri Feb 06 13:31:45 UTC 2026","Courses","Courses","",""
"","1789","Check displaying of dashboard page","LMS system","Fri Feb 06 13:31:51 UTC 2026","passed","Fri Feb 06 13:31:53 UTC 2026","Dashboard","Dashboard","",""
"","1989","User login with wrong email or password","LMS system","Fri Feb 06 13:31:37 UTC 2026","passed","Fri Feb 06 13:31:39 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Fri Feb 06 13:31:52 UTC 2026","passed","Fri Feb 06 13:31:52 UTC 2026","TestUserAuthentication","test_markers","",""
"","2869","Edit course","LMS system","Fri Feb 06 13:31:49 UTC 2026","passed","Fri Feb 06 13:31:51 UTC 2026","Courses","Courses","",""
"","2750","Create course","LMS system","Fri Feb 06 13:31:47 UTC 2026","passed","Fri Feb 06 13:31:50 UTC 2026","Courses","Courses","",""
"","3051","User login with correct email and password","LMS system","Fri Feb 06 13:31:39 UTC 2026","passed","Fri Feb 06 13:31:42 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Fri Feb 06 13:31:52 UTC 2026","passed","Fri Feb 06 13:31:52 UTC 2026","TestUserAuthentication","test_markers","",""
"","1941","User login with wrong email or password","LMS system","Fri Feb 06 13:31:37 UTC 2026","passed","Fri Feb 06 13:31:39 UTC 2026","Authorization","Authentication","",""
"","1805","User login with wrong email or password","LMS system","Fri Feb 06 13:31:39 UTC 2026","passed","Fri Feb 06 13:31:41 UTC 2026","Authorization","Authentication","",""
"","2106","Registration with correct email, username and password","LMS system","Fri Feb 06 13:31:44 UTC 2026","passed","Fri Feb 06 13:31:47 UTC 2026","Registration","Authentication","",""
"","0","test_regression_case","tests.pytest","Fri Feb 06 13:31:52 UTC 2026","passed","Fri Feb 06 13:31:52 UTC 2026","","test_markers","",""
"","1653","Navigation from login page to registration page","LMS system","Fri Feb 06 13:31:43 UTC 2026","passed","Fri Feb 06 13:31:44 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Fri Feb 06 13:31:52 UTC 2026","passed","Fri Feb 06 13:31:52 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Fri Feb 06 13:31:53 UTC 2026","passed","Fri Feb 06 13:31:53 UTC 2026","TestUserAuthentication","test_markers","",""
